,entid,ENTTYPE,INDUSTRYPHY,ent_name,region_id,rc_cf,rc_le,rc_op,rc_ot,follow,level
29,11903114,49,4,mAddison,21,0.609748363,0.016583975,0.011122938,0.360738963,0,SSS
30,12194856,53,0,fAddison,70,0.008962036,0.00253267,0.001413492,0.986559987,1,SSS
31,12226898,9,17,mAde,97,0.268161595,0.005635077,0.003761057,0.721633494,0,C
32,12410250,38,19,fAdelaide,77,0.068145216,0.016971663,0.091571599,0.821366012,0,SSS
33,12562085,18,0,fAdele,91,0.256465137,0.003593923,0.004975199,0.734195054,1,SSS
34,13279008,64,2,fAdelene,26,0.552592635,0.002631335,0.011183931,0.432854772,1,SSS
35,13778114,12,12,fAdelia,78,0.102753207,0.017091339,0.044809792,0.8331545,0,SSS
36,14079560,3,0,fAdelina,43,0.012256701,0.002243233,0.003656276,0.981084168,0,SSS
37,14658789,19,11,fAdeline,86,0.186689034,0.007780919,0.003044346,0.80150491,1,C
38,15146892,46,12,mAden,93,0.290316522,0.002796428,0.003208981,0.69862628,0,C
39,15552179,39,5,mAdnan,53,0.422889888,0.149169281,0.028733037,0.394896388,1,SSS
40,15815442,23,11,mAdonis,66,0.012120819,0.043781862,0.045241088,0.896415591,0,C
41,18454080,44,5,fAdreanna,49,0.009632345,0.088813901,0.020016067,0.878237844,1,SSS
42,19455763,6,2,mAdrian,66,0.316125721,0.008914744,0.015359327,0.658346832,0,SSS
43,20263267,2,11,fAdriana,23,0.556742907,0.003821771,0.007766762,0.430789024,0,SSS
44,20689540,71,0,fAdrianna,27,0.752575815,0.012432419,0.017316986,0.215921953,1,SSS
45,20831715,32,12,fAdrianne,8,0.40674898,0.00354669,0.009436411,0.579224825,0,SSS
46,21495398,62,11,mAdriel,25,0.460338116,0.007760698,0.014214745,0.516022801,1,C
47,21555543,51,19,fAdrienne,86,0.043683324,0.016828455,0.005685879,0.932666004,1,SSS
48,21702078,22,11,fAerona,56,0.01238361,0.046833314,0.011712966,0.927915156,1,C
49,21741580,32,7,fAgatha,39,0.021297684,0.040482812,0.005859978,0.93144834,0,SSS
50,22065829,3,11,fAggie,87,0.472193092,0.004783713,0.014492352,0.507322788,1,SSS
51,22426018,74,5,fAgnes,72,0.813196182,0.005181001,0.005659696,0.175112233,1,SSS
52,22571132,30,5,mAhmad,45,0.002944882,0.002839368,0.001360974,0.407317638,0,SSS
53,22660712,42,11,mAhmed,34,0.005145731,0.009451117,0.006670614,0.969327331,0,SSS
54,22968352,10,9,fAida,27,0.091353297,0.031760897,0.01325401,0.724392593,1,SSS
55,23341331,59,4,mAidan,76,0.015841534,0.02891043,0.305117548,0.648079455,0,SSS
56,24000885,14,17,mAiden,91,0.020752044,0.037079673,0.00340538,0.937994957,0,SSS
57,24139944,42,11,fAileen,2,0.024594143,0.036607251,0.021668032,0.913758457,0,C
58,25315744,55,2,fAilsa,58,0.016686486,0.036360782,0.013792214,0.931676686,0,SSS
59,26019577,73,10,fAimee,13,0.590201199,0.004127392,0.015897324,0.388614178,1,C
60,26159947,45,9,fAine,11,0.06400688,0.014634367,0.006182055,0.91372174,1,SSS
61,27194775,18,0,fAinsleigh,62,0.078358561,0.006787619,0.007750289,0.905811131,1,SSS
62,27679069,44,5,fAinsley,38,0.7202847,0.002864924,0.017259194,0.258849502,0,SSS
63,27959870,73,8,mAinsley,54,0.099767633,0.022265181,0.011068447,0.863770187,0,SSS
64,28115559,14,10,fAisha,34,0.008393514,0.014411075,0.002660196,0.973842025,0,C
65,28899692,49,9,fAisling,8,0.165507063,0.0088938,0.022828326,0.80147326,1,SSS
66,29532411,11,11,fAislinn,69,0.025949268,0.009342061,0.041317422,0.92123872,0,SSS
67,29673727,32,9,mAjay,61,0.058467895,0.003533584,0.00342853,0.934010625,1,C
68,29767348,69,11,mAl,82,0.061990153,0.023840731,0.015444106,0.896693945,0,C
69,30337989,63,5,mAlain,16,0.341615617,0.018015493,0.012728416,0.626063228,0,SSS
70,30500609,11,0,fAlaina,21,0.096437439,0.022089448,0.01600598,0.864200652,0,SSS
71,31354588,62,11,mAlan,0,0.012100032,0.013660303,0.008805786,0.964506507,1,C
72,31433441,39,0,fAlana,90,0.055822413,0.015871093,0.007344313,0.919448912,1,SSS
73,31643522,28,6,fAlanis,32,0.011074505,0.010410437,0.008889161,0.968442142,0,SSS
74,32052142,43,5,fAlanna,22,0.414984733,0.009642518,0.01723996,0.55676645,1,SSS
75,32062727,53,11,fAlannah,59,0.421330929,0.007455983,0.003924649,0.566313267,1,SSS
76,32314617,31,10,fAlaska,5,0.194151014,0.005243387,0.007208075,0.792041183,1,SSS
77,32513339,23,5,mAlastair,49,0.655212045,0.008212152,0.003735326,0.331878066,0,SSS
78,34072279,72,8,fAlayah,72,0.03417436,0.031289037,0.018564936,0.914873302,1,SSS
79,34170845,28,8,fAlayna,61,0.338542849,0.054377347,0.028070234,0.576583743,1,SSS
80,34552549,34,6,fAlba,17,0.051302176,0.033880562,0.008768819,0.905225992,0,SSS
81,34944276,68,11,mAlbert,3,0.017977085,0.011321857,0.008935787,0.960951984,1,SSS
82,35566715,48,11,fAlberta,81,0.034813698,0.001137129,0.001780717,0.961864948,0,C
83,36247258,49,0,mAlberto,78,0.427559048,0.005646294,0.015063672,0.550075352,1,SSS
84,36741548,0,11,mAlbie,48,0.006938762,0.015744122,0.035868909,0.940414965,0,SSS
85,38086839,51,7,mAlden,33,0.003779169,0.001072893,0.001018309,0.993813872,0,SSS
86,38245912,9,9,mAldo,51,0.114266671,0.004132919,0.003769128,0.877029181,1,C
87,38363655,10,5,fAleah,0,0.688350379,0.00212706,0.008125521,0.300668955,0,SSS
88,38419352,74,17,mAlec,73,0.234417573,0.054436158,0.017767329,0.690811574,0,SSS
89,39306954,26,9,fAlecia,57,0.040533923,0.009459898,0.006780782,0.94236064,0,C
90,40212297,31,12,fAleisha,89,0.204649791,0.003018442,0.006989246,0.784365058,0,C
91,40431646,34,12,fAlejandra,67,0.042300746,0.148406014,0.009943745,0.759339392,1,SSS
92,40457119,31,5,mAlejandro,31,0.020081338,0.022684064,0.012348293,0.943513632,0,SSS
93,40870660,35,2,mAlen,95,0.001770203,0.018032541,0.009567179,0.969885111,1,SSS
94,41410728,20,12,fAlena,45,0.054531574,0.034710228,0.013383379,0.896161258,1,SSS
95,42195545,21,2,mAlesandro,17,0.041700996,0.006684792,0.012873372,0.937665105,1,SSS
96,42899801,33,11,fAlessandra,67,0.132911608,0.005568785,0.006427681,0.854465663,1,SSS
97,43508087,72,4,fAlessia,97,0.006792725,0.009963362,0.008780753,0.97268641,0,SSS
98,43814551,58,5,mAlex,15,0.03908325,0.004350022,0.003185873,0.952646494,1,SSS
99,44049764,39,4,fAlex,24,0.262323171,0.005107238,0.006898959,0.724364996,1,SSS
100,44203900,8,6,fAlexa,98,0.021911439,0.002349328,0.002576548,0.972697794,1,SSS
101,44606702,64,11,mAlexander,2,0.015712492,0.108206995,0.087915972,0.78516376,0,SSS
102,45163949,37,8,fAlexandra,16,0.024094323,0.009373281,0.009831671,0.955218852,0,SSS
103,45220215,60,5,fAlexandria,36,0.663041115,0.003175513,0.012095834,0.32064715,0,SSS
104,45388809,69,2,fAlexia,11,0.024296129,0.012488442,0.004446511,0.957978308,1,SSS
105,45540546,72,17,fAlexis,93,0.317259461,0.004008407,0.011046161,0.666438222,1,SSS
106,46118161,19,8,mAlexis,21,0.043069039,0.052052308,0.080855049,0.820938408,1,SSS
107,46306095,36,0,fAlexus,7,0.043263193,0.01568188,0.009512988,0.929547012,0,SSS
108,46754004,42,5,mAlfie,60,0.002583294,0.01048576,0.026677735,0.959378302,1,SSS
109,46804728,75,5,mAlfonso,13,0.103832021,0.041821241,0.026183471,0.824793994,1,SSS
110,47132699,15,7,mAlfred,79,0.012427252,0.026486116,0.13537778,0.823411644,1,SSS
111,47348688,51,5,mAlfredo,10,0.198165551,0.00209964,0.004107754,0.143017069,0,SSS
112,48139721,27,11,mAli,50,0.151133522,0.011649585,0.006659888,0.829118729,0,C
113,49303527,58,5,fAli,56,0.021443564,0.006397226,0.004173147,0.967314363,0,SSS
114,49885791,11,7,fAlia,95,0.309075743,0.011575611,0.020586923,0.657473207,0,SSS
115,50478809,7,5,fAlice,36,0.103959672,0.03144487,0.309642583,0.550904989,1,SSS
116,50623972,23,0,fAlicia,1,0.303196728,0.001854316,0.004499052,0.143458888,1,SSS
117,51682819,55,2,fAlina,37,0.105021857,0.004505223,0.004756291,0.885201335,1,SSS
118,53485795,37,0,fAlisa,44,0.006539228,0.009095918,0.152365342,0.831079185,1,SSS
119,53777500,62,5,fAlisha,12,0.01764415,0.042031668,0.007230076,0.932093263,0,SSS
120,53835321,67,5,fAlison,51,0.044438485,0.013361785,0.018294433,0.921860337,1,SSS
121,54281582,52,7,fAlissa,2,0.618427157,0.003402859,0.003163499,0.374301791,1,SSS
122,54456367,2,2,mAlistair,15,0.485966474,0.002715395,0.006305642,0.504278183,0,C
123,54930732,53,5,fAlivia,97,0.733000994,0.001641758,0.00704621,0.257763088,0,SSS
124,55076129,0,11,fAliyah,29,0.531611085,0.002841762,0.01002135,0.454773635,0,SSS
125,55491638,0,8,fAliza,68,0.115390725,0.000610033,0.001533235,0.077857047,1,SSS
126,57354986,51,8,fAlize,96,0.066200398,0.020366115,0.0059526,0.906502783,1,SSS
127,57779018,39,8,fAlka,19,0.008724468,0.036587272,0.313717902,0.63838464,1,SSS
128,58131030,55,5,mAllan,62,0.40416503,0.005029566,0.008181334,0.581545532,1,SSS
129,58165557,20,11,mAllen,74,0.375625521,0.002489369,0.01734239,0.603680909,0,C
130,58376144,65,12,fAllie,97,0.023821265,0.016225871,0.002347892,0.956861019,0,SSS
131,60134924,20,5,fAllison,59,0.095305435,0.022171369,0.017397322,0.863426507,0,SSS
132,60314496,27,2,fAlly,97,0.214055061,0.003460079,0.008081359,0.773467898,0,SSS
133,60482552,48,0,fAllyson,25,0.006533123,0.036698822,0.003364295,0.952833712,1,SSS
134,60728002,71,9,fAlma,61,0.069258511,0.14054355,0.004227742,0.784906387,0,SSS
135,61155472,68,5,fAlondra,49,0.688995183,0.004266739,0.005657842,0.30034861,1,SSS
136,61464181,10,11,mAlonzo,22,0.25854072,0.003623009,0.005015464,0.732043922,0,SSS
137,61871703,27,0,mAloysius,73,0.201334402,0.009853361,0.024994519,0.762316287,1,SSS
138,62022045,59,5,mAlphonso,35,0.01522322,0.005571966,0.002341249,0.976051688,0,SSS
139,62236164,7,5,mAlton,73,0.067826174,0.011831474,0.009260373,0.909702003,1,SSS
140,62278932,12,5,mAlvin,26,0.014807071,0.020943621,0.054921985,0.907474399,1,SSS
141,63010757,16,14,fAlycia,15,0.004509213,0.008746643,0.017033538,0.968676746,0,SSS
142,63165459,54,11,fAlyshialynn,95,0.027902048,0.021312486,0.012164653,0.937227726,0,SSS
143,63194206,73,2,fAlyson,84,0.51978147,0.003997529,0.023426784,0.451352656,0,SSS
144,64138306,75,11,fAlyssa,21,0.053722624,0.001743503,0.005064866,0.938636661,0,SSS
145,64250574,22,11,fAlyssia,22,0.506747365,0.006956684,0.015656132,0.469053984,0,SSS
146,64425707,25,11,fAmalia,61,0.004570269,0.050385877,0.003918467,0.940385044,1,SSS
147,67264605,7,0,fAmanda,17,0.039632566,0.013709912,0.022862127,0.922775745,0,SSS
148,67448426,13,9,fAmani,1,0.009367538,0.020250948,0.002605852,0.967062235,0,C
149,68108625,57,0,fAmara,62,0.052658122,0.005875245,0.009902225,0.930846095,1,SSS
150,68528873,21,12,mAmari,13,0.366917878,0.023367498,0.012691814,0.594639897,1,SSS
151,69056627,23,5,fAmari,23,0.256979823,0.005619798,0.006882655,0.729505897,1,SSS
152,69522839,33,2,fAmaris,72,0.130834401,0.011728111,0.006916393,0.849429667,0,SSS
153,69594469,3,0,fAmaya,23,0.112343982,0.012016682,0.02371854,0.850450993,1,SSS
154,70094255,4,8,fAmber,51,0.698436916,0.01556289,0.010008535,0.274392217,1,SSS
155,70458535,62,5,fAmberly,65,0.004068474,0.005093876,0.003300463,0.629824877,0,SSS
156,70562840,25,2,fAmelia,86,0.041108239,0.012897415,0.011552108,0.933506012,1,SSS
157,70578920,20,9,fAmelie,72,0.583982944,0.001826178,0.005244448,0.408318013,0,C
158,70915199,3,4,fAmerica,87,0.025954325,0.037061818,0.003772157,0.932674646,1,SSS
159,71041488,34,12,fAmethyst,20,0.002591538,0.006889006,0.032844555,0.956782281,0,SSS
160,71115142,20,5,fAmie,2,0.060222667,0.005156504,0.002722791,0.93110168,1,SSS
161,71263442,72,11,fAmina,24,0.411323756,0.002333552,0.015458596,0.570150375,1,SSS
162,72275743,23,14,mAmir,19,0.052098639,0.000944747,0.002312012,0.039613243,1,SSS
163,73118731,36,11,fAmirah,63,0.177664056,0.024760706,0.208421975,0.587497294,1,SSS
164,73643264,50,5,mAmit,44,0.010528881,0.003106415,0.004129768,0.981960416,0,SSS
165,74360148,13,11,fAmity,63,0.755633116,0.002575866,0.010642271,0.23039113,0,SSS
166,75056894,14,11,mAmos,40,0.080949001,0.00411932,0.007320415,0.575275719,1,C
167,75194590,47,12,fAmy,18,0.377233356,0.003200413,0.009102714,0.609395385,0,SSS
168,75481607,66,11,fAmya,58,0.01803037,0.045733877,0.151692152,0.7815997,0,C
169,77287261,41,11,fAna,38,0.015145659,0.029251523,0.054702815,0.898427904,1,C
170,78281172,36,11,fAnabel,40,0.050986316,0.023455242,0.006971725,0.916821599,1,C
171,78986550,18,0,fAnabelle,31,0.585714459,0.004360475,0.01193888,0.396703631,0,SSS
172,79532710,63,11,fAnahi,76,0.546745658,0.009746795,0.012514821,0.429746121,0,C
173,80703996,45,5,fAnais,90,0.068882823,0.00888139,0.009205981,0.912070036,1,SSS
174,81775757,50,5,fAnamaria,92,0.748751819,0.001555508,0.006676037,0.242497519,0,SSS
175,81848983,15,2,mAnand,26,0.825062931,0.002045838,0.005569278,0.166720182,0,SSS
176,83014283,13,0,fAnanya,28,0.696738482,0.002225634,0.003284844,0.297213197,0,SSS
177,85241169,28,5,fAnastasia,52,0.655679584,0.003542382,0.007245781,0.33252129,1,SSS
178,85583992,58,2,mAnderson,33,0.057930566,0.028291583,0.04549678,0.636475086,0,SSS
179,85625020,7,11,fAndie,91,0.813630998,0.002706124,0.009040616,0.173994273,0,C
180,85655162,75,5,mAndre,57,0.032575689,0.008770722,0.01962289,0.937562704,0,SSS
181,86243682,4,2,fAndrea,35,0.002971056,0.007717959,0.016781611,0.971873462,0,SSS
182,87092606,57,5,mAndreas,63,0.079684049,0.009452748,0.002950221,0.907072783,0,SSS
183,87381416,8,4,mAndres,44,0.003819427,0.01085064,0.005240159,0.662925005,0,SSS
184,88404646,69,2,mAndrew,5,0.271862596,0.005102304,0.014576354,0.707285166,0,SSS
185,89906751,74,11,fAndromeda,20,0.072499566,0.007816628,0.00235756,0.91650182,1,SSS
186,90553906,44,5,mAndy,48,0.03508148,0.002292944,0.00234443,0.245913208,0,SSS
187,90834217,32,10,mAngel,47,0.040368523,0.043394085,0.037336167,0.486784816,0,SSS
188,90920959,37,17,fAngel,10,0.412672639,0.002722407,0.011848681,0.572020113,0,SSS
189,91286955,47,5,fAngela,77,0.681890905,0.003046189,0.003429003,0.310994565,1,SSS
190,92124617,23,11,fAngelia,83,0.013687151,0.024931736,0.030017931,0.929421067,1,C
191,92929819,6,5,fAngelica,71,0.338723511,0.002579381,0.01279451,0.64496249,1,SSS
192,93132708,21,10,fAngelina,2,0.156947806,0.002714419,0.004510356,0.835153997,0,SSS
193,93291786,57,8,fAngeline,88,0.043736175,0.031532101,0.017806279,0.905556858,0,SSS
194,93543846,25,5,fAngelique,22,0.019890847,0.036984455,0.249439836,0.646871984,0,SSS
195,94136991,40,11,mAngelo,90,0.002789264,0.019028148,0.004347727,0.308147788,0,C
196,94628547,4,11,fAngie,72,0.014788082,0.024619963,0.075505696,0.480091989,0,C
197,95372180,1,0,mAngus,9,0.402882993,0.010276211,0.017936228,0.567385912,0,SSS
198,95375757,2,10,fAnika,59,0.346724033,0.002948202,0.006826606,0.642540634,1,C
199,95898023,41,11,fAnisa,22,0.005101033,0.060339253,0.016162863,0.917278349,0,C
200,95926854,1,5,fAnita,39,0.216848195,0.008009643,0.005971331,0.768315196,1,SSS
201,96111140,31,11,fAniya,2,0.140258655,0.016712377,0.012858162,0.828714132,0,SSS
202,96265667,31,16,fAniyah,80,0.019162677,0.003631773,0.003893701,0.972417235,0,SSS
203,96647458,40,5,fAnjali,82,0.027248075,0.010464033,0.081039988,0.880134165,1,SSS
204,96704161,41,11,fAnn,12,0.009464437,0.009318673,0.024421016,0.955571294,1,C
205,96827232,31,11,fAnna,44,0.026590442,0.919761181,0.008800346,0.044094842,1,SSS
206,97142402,70,4,fAnnabel,27,0.014327685,0.019880565,0.873807788,0.090319939,0,SSS
207,97341465,13,11,fAnnabella,81,0.009237784,0.021070635,0.901112437,0.06640815,1,SS
208,98485705,33,2,fAnnabelle,10,0.02129986,0.46636039,0.290785551,0.218425572,1,SSS
209,100065848,17,0,fAnnabeth,37,0.003815713,0.024861947,0.905998945,0.0645478,0,SSS
210,100233421,67,11,fAnnalisa,44,0.029998925,0.035157505,0.840471745,0.093051881,0,C
211,100322040,27,11,fAnnalise,7,0.000941742,0.005911848,0.980843961,0.012075343,0,SSS
212,101567323,2,2,fAnne,29,0.839744806,0.01016988,0.003016978,0.146305099,0,SSS
213,102551598,63,4,fAnneke,6,0.004119204,0.086302549,0.872077167,0.03689006,1,SSS
214,103517987,70,2,fAnnemarie,57,0.00659605,0.074364796,0.064358473,0.85164988,0,C
215,103686024,75,5,fAnnette,47,0.000904944,0.030737842,0.958368182,0.009675187,1,SSS
216,104104541,21,0,fAnnie,19,0.030421555,0.11044991,0.110183388,0.739733994,1,SSS
217,104272542,72,5,fAnnika,4,0.016390773,0.065875068,0.597076774,0.31793502,1,SSS
218,105304625,45,19,fAnnmarie,63,0.007624596,0.074473374,0.168494791,0.747723818,0,SSS
219,105365710,42,2,mAnsel,5,0.003185694,0.005130922,0.979551792,0.01174886,1,SSS
220,106159112,31,11,mAnson,20,0.010180152,0.009470669,0.676645577,0.128582194,1,C
221,106755206,21,5,fAnthea,96,0.091818579,0.02865018,0.024372576,0.852148414,0,SSS
222,107591273,52,8,mAnthony,61,0.003889898,0.022024557,0.678480089,0.293834716,0,SSS
223,108043142,53,2,fAntoinette,99,0.004736593,0.048022952,0.00501155,0.941453338,1,SSS
224,108393425,42,11,mAnton,10,0.003748707,0.018651448,0.921460629,0.055202812,0,SSS
225,108869142,48,5,fAntonia,93,0.003467467,0.595676303,0.004629366,0.38754642,0,SSS
226,108998765,67,2,mAntonio,58,0.549389482,0.014387498,0.069954813,0.364205271,1,SSS
227,109000061,58,9,mAntony,88,0.029984187,0.047862004,0.016871832,0.901610911,0,SS
228,109252429,24,11,fAnuja,14,0.029117936,0.015812406,0.01101824,0.943130136,1,C
229,109835389,60,6,fAnusha,54,0.057724979,0.001130232,0.004036037,0.032051858,0,SSS
230,110863685,72,2,fAnushka,48,0.004808845,0.0080979,0.017008141,0.969031394,0,SSS
231,111286211,14,5,fAnya,82,0.001695878,0.00716112,0.010127485,0.980326176,0,C
232,112231894,23,11,fAoibhe,71,0.019612163,0.063321777,0.028158722,0.884916723,1,C
233,113330526,13,8,fAoibheann,60,0.097737409,0.009957012,0.007394799,0.883724213,1,SSS
234,113766077,69,10,fAoife,47,0.048516043,0.148391515,0.026053267,0.773534596,1,SSS
235,113836531,21,6,fAphrodite,69,0.072581477,0.016752897,0.013629436,0.146562055,1,SSS
236,114126067,16,11,mApollo,20,0.048701238,0.001774024,0.003243915,0.94581604,1,C
237,114150522,4,8,fApple,49,0.058109749,0.020738691,0.025132844,0.894937575,0,SSS
238,114467175,57,2,fApril,71,0.005347336,0.006037842,0.013311729,0.974107563,0,SSS
239,114822988,56,6,fAqua,0,0.028614944,0.122379698,0.0344868,0.811796546,0,SSS
240,115339998,25,5,fArabella,85,0.281694889,0.011138489,0.019092606,0.686852932,0,C
241,115557824,62,5,fArabelle,76,0.170115888,0.026217174,0.023715213,0.776616633,0,SSS
242,115709829,27,12,mAran,80,0.006126051,0.005565235,0.001952671,0.985850275,0,SSS
243,115726514,64,11,mArcher,30,0.598323822,0.00985175,0.028989283,0.361426204,1,C
244,116573635,44,17,mArchie,87,0.008847845,0.465255469,0.008539447,0.516337872,1,SSS
245,116650344,23,8,mAri,11,0.013957326,0.121678017,0.01048256,0.851341128,0,SSS
246,117315094,27,0,fAria,0,0.002735069,0.032941807,0.00673889,0.956873775,0,SSS
247,117440828,2,9,fAriadne,60,0.090733811,0.122238703,0.334589839,0.446872532,1,C
248,118285712,60,11,fAriana,35,0.044383913,0.036556151,0.463149428,0.450703621,1,SSS
249,118452606,15,12,fArianna,21,0.050250396,0.663572609,0.02385758,0.259615958,0,SSS
250,118913554,46,9,fArianne,29,0.010363705,0.728288829,0.096189357,0.16165252,0,C
251,118936778,50,5,fAriel,73,0.002342904,0.024831735,0.001258766,0.034014158,1,SSS
252,119305795,26,11,fAriella,9,0.022604372,0.020130618,0.240280926,0.713784635,0,SSS
253,119477212,61,5,fArielle,40,0.011836415,0.006915128,0.809819698,0.170338571,1,SSS
254,119697720,46,10,fArisha,35,0.050472852,0.032784175,0.035043232,0.879049361,0,SSS
255,119860111,51,9,mArjun,81,0.433510602,0.019684751,0.014383223,0.530501068,1,C
256,121189460,13,5,fArleen,99,0.01754852,0.053475782,0.009423211,0.918422043,1,SSS
257,122404006,63,10,fArlene,25,0.013948656,0.022338452,0.043953158,0.917927384,1,C
258,123162283,55,5,fArlette,64,0.027456969,0.005905706,0.06518434,0.900514424,0,SSS
259,123542618,12,5,mArlo,43,0.004989011,0.019005878,0.483490705,0.49150753,0,SSS
260,124290587,47,11,mArman,13,0.017312028,0.021880336,0.050750997,0.699290216,1,C
261,124575170,8,12,mArmando,26,0.086781748,0.020652972,0.073687598,0.815497279,1,SSS
262,124734491,47,5,mArnold,49,0.012056954,0.154882267,0.351086468,0.4777098,1,SSS
263,125301595,67,10,mAron,76,0.001212775,0.035112701,0.003832481,0.94445461,0,SSS
264,126157276,52,5,mArran,12,0.326258183,0.017572837,0.026319215,0.62856108,0,SSS
265,127290212,28,7,mArrie,87,0.004116215,0.010181019,0.042411499,0.293753117,1,SSS
266,127466506,67,9,mArt,29,0.041280761,0.114416137,0.024463832,0.816348732,1,C
267,127639160,37,11,fArtemis,43,0.006225402,0.376820356,0.453095645,0.162665725,0,SSS
268,127671566,26,0,mArthur,74,0.035956457,0.289606065,0.043805405,0.625445724,0,C
269,128182389,46,5,mArturo,61,0.006153252,0.079609588,0.094842806,0.81713599,0,SSS
270,128394214,61,9,mArun,93,0.007617891,0.023684017,0.558170855,0.40928638,1,SSS
271,128629107,57,5,fArwen,4,0.00242193,0.046392936,0.007448632,0.942895651,0,SSS
272,130158179,38,0,mArwin,7,0.00855007,0.046892796,0.0191487,0.859391212,0,SSS
273,130237444,35,5,fArya,96,0.245516777,0.01099151,0.023537124,0.71836412,0,SSS
274,130306957,66,2,mAsa,64,0.064543739,0.064905629,0.07420297,0.79169327,1,SSS
275,130477767,46,5,mAsad,48,0.035564709,0.004380392,0.001010383,0.958683133,1,SSS
276,130780621,7,14,mAsh,14,0.006647353,0.006971772,0.008614077,0.977289557,1,SSS
277,131000693,36,5,fAsha,14,0.061658982,0.349419624,0.02315413,0.562059104,1,SSS
278,131069474,46,11,fAshanti,70,0.202201635,0.018986981,0.025709273,0.750504553,0,C
279,131327455,5,5,mAshby,45,0.260749638,0.00322174,0.012320801,0.723053694,0,SSS
280,131512759,18,5,mAsher,94,0.003283766,0.013467753,0.449049115,0.533194184,1,SSS
281,131863077,8,14,fAshlee,29,0.214666262,0.005928891,0.016188648,0.76215142,1,SSS
282,133175595,64,2,fAshleigh,61,0.150488153,0.010787075,0.030228075,0.806001484,1,SSS
283,134175466,40,8,fAshley,95,0.000346711,0.011450709,0.00102691,0.987021983,1,SSS
284,134221611,9,5,mAshley,1,0.007482737,0.008690067,0.014177901,0.968777895,0,SSS
285,134719296,20,6,fAshlie,66,0.007786247,0.001947353,0.001791901,0.988014519,1,SSS
286,135026013,57,11,fAshlyn,4,0.006446298,0.030937685,0.018325627,0.886588812,0,C
287,135918433,18,11,fAshlynn,57,0.02307714,0.036715399,0.020973925,0.918543339,0,SSS
288,136017668,73,10,mAshton,77,0.027824553,0.03172069,0.074330948,0.863706708,0,SSS
289,136216434,1,5,fAshton,21,0.007015724,0.318166077,0.096615851,0.57591325,0,SSS
290,136558843,67,5,fAshvini,80,0.001493703,0.011732864,0.001242025,0.261706591,0,SSS
291,137420711,1,11,fAsia,14,0.005078119,0.013429031,0.005672647,0.975321114,0,C
292,137598294,31,4,fAsma,51,0.000763467,0.007279026,0.004446769,0.987232327,0,SSS
