entid,level
763566074,C
1133313391,C
1145631240,C
272730092,C
996937902,C
115339998,C
897522411,C
493833765,C
215297274,C
477609768,C
181520887,C
1201326906,C
1088282626,C
109197793,C
677486778,C
842321361,C
195013822,C
758105004,C
769345668,C
304078443,C
379616714,C
672691887,C
689807604,C
225865950,C
560635202,C
85625020,C
332412177,C
950964030,C
351807698,C
122220175,C
1164000197,C
749517298,C
392624698,C
29156211,C
1201058246,C
275122329,C
21702078,C
763126220,C
521978266,C
530658986,C
19612741,C
907519372,C
808713634,C
747756688,C
150872418,C
534061844,C
541611389,C
16370806,C
163955432,C
267064445,C
753544918,C
779872233,C
613690678,C
35566715,C
137040147,C
462629255,C
1036107901,C
370924930,C
473603328,C
1126948899,C
1094770755,C
849377837,C
779853295,C
1074043626,C
661278803,C
605679896,C
579589393,C
12797847,C
636191915,C
371360255,C
113560248,C
288764239,C
334658801,C
967660196,C
380623635,C
889468478,C
398431409,C
625243944,C
980472682,C
1203938154,C
691834047,C
1179998601,C
1222676313,C
576223938,C
580309977,C
1021133736,C
566709980,C
1087388731,C
300801599,C
305088290,C
1163686299,C
1063012839,C
98881159,C
632218956,C
471073634,C
204164781,C
361556788,C
225802790,C
974430232,C
1222959861,C
925143437,C
188029906,C
353843619,C
519239830,C
1153663696,C
85055244,C
140294893,C
838865206,C
1063798897,C
1187619116,C
58165557,C
1211146226,C
766781991,C
1011668876,C
176707190,C
8821659,C
1005484133,C
731471307,C
486942015,C
865589621,C
6661687,C
514427770,C
687207095,C
138410002,C
1163008218,C
802576866,C
887502847,C
133746071,C
1152039403,C
77539620,C
943655309,C
1179650368,C
825085781,C
1005387686,C
716838666,C
1191254660,C
497196864,C
690111956,C
532386625,C
460609992,C
470602015,C
860188978,C
1058552500,C
1094485325,C
923931235,C
325362643,C
635706789,C
6752179,C
38313730,C
1064971831,C
1155942293,C
944041827,C
297840921,C
135026013,C
881639012,C
507433114,C
99774355,C
905790224,C
596716081,C
471931044,C
424007840,C
1057417896,C
1165654536,C
854368587,C
172705492,C
1003786822,C
1141604708,C
1218459383,C
274537741,C
1162881188,C
464489452,C
146477661,C
691939625,C
97599295,C
1151926621,C
1149932031,C
384974106,C
207370900,C
812482882,C
388851900,C
634924543,C
489081781,C
972603126,C
893839911,C
569311652,C
938735146,C
280380005,C
747551895,C
950477262,C
104687734,C
1067030732,C
352833104,C
694935190,C
814750034,C
705054375,C
39148641,C
213159696,C
670991159,C
952315954,C
462279813,C
1127446955,C
781920232,C
893764247,C
307832564,C
864229628,C
1233722231,C
773026940,C
57508129,C
226791803,C
722657309,C
385324331,C
363413732,C
536607799,C
77287261,C
48139721,C
540725588,C
997864454,C
420128370,C
1107494464,C
217269397,C
120016698,C
925193355,C
682636,C
889215358,C
915691115,C
1026610675,C
708296085,C
494655806,C
198645614,C
1082685891,C
1042476978,C
836262811,C
1093842360,C
899638937,C
795779742,C
1132229515,C
663195445,C
173608654,C
1117215786,C
434369652,C
109349946,C
770023067,C
320426589,C
1020595851,C
923259323,C
707959011,C
1159985852,C
450806114,C
710072547,C
729451269,C
412259756,C
376845234,C
1183470458,C
720509517,C
323717895,C
885727648,C
75056894,C
379903178,C
208602029,C
379192079,C
391577769,C
169464023,C
100233421,C
362903000,C
1203402911,C
286859787,C
932526009,C
237634336,C
885686552,C
959080401,C
183833080,C
170330044,C
919169251,C
742400980,C
849285849,C
142676695,C
255617404,C
744113346,C
841541151,C
997431433,C
959410697,C
332785190,C
1030735457,C
201608143,C
1065599506,C
704862560,C
1066984012,C
676421585,C
967318809,C
224125503,C
799568105,C
922231918,C
647570801,C
417928253,C
190741069,C
1051752215,C
69864218,C
1018494927,C
136649949,C
619642009,C
586195456,C
915092028,C
289406577,C
1028027711,C
210383067,C
1151359164,C
38245912,C
970738170,C
254014915,C
1116658045,C
527302025,C
739577462,C
365922999,C
8485337,C
468888250,C
1085726638,C
140245352,C
620591783,C
1005435467,C
366545916,C
460199986,C
1017492578,C
5025536,C
1185979689,C
552644395,C
49593012,C
1085932784,C
327447823,C
565113965,C
194970450,C
590790420,C
195815638,C
1188467492,C
27666724,C
901185712,C
1054297235,C
407546436,C
380197125,C
862518655,C
170154605,C
1128714156,C
11578219,C
1106791339,C
103538899,C
94136991,C
1077119028,C
285828433,C
695526356,C
1098729478,C
700384826,C
140640476,C
380336498,C
725175640,C
1066891061,C
483084153,C
931883693,C
295521760,C
996030320,C
690424336,C
208523205,C
327107238,C
590470593,C
1018107647,C
1094467953,C
52854757,C
884908859,C
245720891,C
1162220290,C
607278503,C
669744226,C
1201794855,C
315441855,C
633807404,C
495172474,C
158248251,C
271842174,C
493724517,C
1018069886,C
760576075,C
1085857349,C
390780098,C
851397728,C
83240477,C
876006391,C
83572229,C
60048059,C
1215821485,C
1229741895,C
1113540454,C
372210897,C
672327129,C
218369705,C
343600466,C
459215844,C
1092343558,C
716930547,C
76278720,C
842409546,C
282610525,C
640725174,C
498426938,C
553787562,C
279005699,C
1099944224,C
432161556,C
613290361,C
728409098,C
1134127066,C
720719528,C
1113555915,C
231491791,C
1190580640,C
52403002,C
749231957,C
1224360866,C
221080726,C
643346326,C
232058581,C
794570139,C
259595235,C
653184071,C
992237603,C
530342741,C
713858841,C
516297044,C
518601962,C
557422970,C
794019868,C
744263988,C
1121546990,C
448253308,C
1188349896,C
809284296,C
601302943,C
844589179,C
425886436,C
625732720,C
1082243975,C
445480221,C
879001764,C
809694360,C
15412559,C
319554661,C
1179072556,C
1117127933,C
261482098,C
332704751,C
897511444,C
362523435,C
798350000,C
375798270,C
1212162643,C
659288071,C
333853715,C
978827451,C
323473633,C
131200222,C
1068496561,C
1215158860,C
718426174,C
423791386,C
62390575,C
347193582,C
593631230,C
316092570,C
483094212,C
654589853,C
350902767,C
739391471,C
1158820955,C
1062569770,C
836910852,C
606066033,C
642806047,C
852094752,C
886096723,C
155522038,C
649788003,C
86580773,C
378554813,C
286552333,C
575224830,C
126993263,C
668158638,C
1230336904,C
37110881,C
791765142,C
673580467,C
775583569,C
407207628,C
909463926,C
909985325,C
145179159,C
836581602,C
925250378,C
200142270,C
1189743165,C
953672999,C
343998876,C
1145175331,C
968037697,C
688774607,C
135754431,C
180016517,C
1000603123,C
455489186,C
708132120,C
211469713,C
14658789,C
19850270,C
31354588,C
88880631,C
1000291316,C
85743647,C
1052219378,C
92124617,C
957814072,C
707501464,C
626617037,C
1011014592,C
1107414197,C
574226120,C
339230089,C
315057141,C
277527220,C
353970327,C
459791316,C
115383990,C
1050159128,C
40238525,C
111749012,C
648864066,C
389988763,C
929663379,C
209522538,C
265543412,C
248264924,C
958908459,C
306578626,C
1166244652,C
734758428,C
507043244,C
153234185,C
628761668,C
715868012,C
203509981,C
593995034,C
1170338772,C
225803089,C
1230510896,C
73993940,C
647313960,C
328074928,C
876474681,C
500860246,C
389178900,C
1190155319,C
1118845943,C
131069474,C
1028369045,C
750392117,C
269763255,C
804873884,C
558787191,C
83973512,C
919821609,C
1207030622,C
898306591,C
919052577,C
310206872,C
1024186033,C
1102913507,C
234404727,C
32025878,C
296193174,C
1027686491,C
515862193,C
94628547,C
1128281818,C
251810305,C
345337235,C
968740487,C
998671920,C
444717725,C
846319954,C
603865048,C
445220130,C
1183612211,C
262483415,C
800149315,C
224947159,C
1152309238,C
671030964,C
142931897,C
667545069,C
1003598251,C
425173736,C
618517231,C
1178264308,C
649944968,C
1202604300,C
1151305842,C
1128682595,C
766344392,C
831677751,C
365274435,C
867564755,C
356856567,C
453047470,C
1107560411,C
1189382204,C
794266200,C
524853474,C
60068624,C
583114121,C
198740367,C
209639730,C
553149000,C
802540167,C
828334189,C
446274146,C
181220374,C
694459494,C
226030893,C
325265909,C
627653926,C
174838085,C
822541486,C
1107666652,C
1079648641,C
276640884,C
770012999,C
530384310,C
911243271,C
794653722,C
233666490,C
1037965169,C
450904367,C
1047142565,C
933329028,C
991811367,C
700450176,C
846275858,C
793828820,C
978425250,C
112231894,C
306996078,C
968150919,C
742120449,C
315091037,C
720945377,C
464408693,C
254160203,C
798162,C
407904122,C
1154191793,C
1228655698,C
564619951,C
995243158,C
145901282,C
265904608,C
189224647,C
676267292,C
1098183164,C
517353431,C
1164908871,C
786873960,C
187884675,C
177845150,C
61794653,C
390647688,C
1092084658,C
920614612,C
926777235,C
914057908,C
37548048,C
426526636,C
1005206680,C
184290262,C
1017991419,C
10698350,C
603286004,C
606811381,C
452175371,C
748711858,C
277254951,C
569324456,C
748545376,C
635226615,C
1228052139,C
284778927,C
652250551,C
749144387,C
1015275963,C
462447349,C
794816216,C
587710733,C
214295629,C
624471209,C
1217128652,C
173528591,C
1031707379,C
1030291407,C
463935137,C
672217675,C
963091337,C
105575276,C
706785836,C
57286554,C
466789539,C
930469767,C
532257916,C
19355525,C
929790487,C
1003813239,C
428159673,C
485163252,C
225394176,C
1155853285,C
94198675,C
1054467519,C
1044226112,C
739078714,C
1083257511,C
784543149,C
393355112,C
674442998,C
1082490942,C
856131192,C
908579930,C
1156237838,C
367450094,C
24139944,C
934993648,C
1123914320,C
173425626,C
882946127,C
1233351534,C
966456960,C
348194382,C
550882120,C
1097385336,C
1099012275,C
483678988,C
1077965676,C
859047825,C
367563279,C
807621140,C
1065763127,C
827852465,C
71374755,C
170689014,C
455727238,C
885962709,C
300866435,C
957335499,C
614988490,C
909677876,C
163836302,C
177233633,C
612973161,C
232878265,C
614998892,C
408031260,C
134796652,C
577816325,C
196838592,C
715299087,C
840366560,C
615178523,C
15146892,C
995461959,C
635268688,C
564252425,C
608027695,C
793519841,C
126406124,C
835862955,C
706925528,C
794337401,C
612112841,C
1033691657,C
455558271,C
722691858,C
663498072,C
1022501713,C
1139812428,C
705310922,C
1169005838,C
1075680007,C
1187165635,C
165029844,C
506589439,C
412086145,C
760232610,C
151413858,C
1138749469,C
853514282,C
412285498,C
523987485,C
328684818,C
794950996,C
290278547,C
191207011,C
639523185,C
70578920,C
902504771,C
308587947,C
891890114,C
515804857,C
928615169,C
1197260202,C
121205650,C
353587921,C
143364110,C
198576137,C
10711834,C
43635130,C
223377099,C
1185729581,C
473247369,C
1003634226,C
744968200,C
1132808434,C
500970908,C
908247590,C
727182458,C
1057654777,C
485154649,C
593136513,C
937101326,C
371713118,C
113976139,C
276842037,C
463584372,C
794079288,C
278878337,C
789187327,C
45418644,C
469686965,C
1090847978,C
629970841,C
548493601,C
1174942886,C
342952876,C
1080539525,C
137903147,C
1002915143,C
477280607,C
177473368,C
566980571,C
253310567,C
1057348056,C
203732566,C
556570117,C
988033114,C
407350190,C
95898023,C
308649052,C
284504445,C
743836372,C
1180983562,C
898701399,C
829845602,C
688241041,C
621160066,C
122404006,C
873653497,C
88133022,C
58641410,C
368132676,C
1174536977,C
1169874443,C
1131068778,C
902332511,C
1139378624,C
120469233,C
249978608,C
5066338,C
678912959,C
636710052,C
517620557,C
331104769,C
1148210108,C
705753384,C
78281172,C
92653468,C
219488280,C
608244362,C
829830764,C
467117200,C
618751808,C
951648892,C
1206489139,C
671369696,C
213392980,C
863431175,C
368872124,C
1018283505,C
297060062,C
998553068,C
859307071,C
337018970,C
1048179815,C
591049147,C
249210214,C
810431967,C
633773899,C
846410281,C
538886366,C
226141851,C
631418868,C
890470807,C
667857989,C
112911993,C
757360944,C
922021901,C
635792996,C
301800378,C
919000691,C
644394656,C
1227147497,C
566363148,C
615699596,C
1120577622,C
46204191,C
651615212,C
87341364,C
587234785,C
178869075,C
1111922976,C
1176027146,C
371694270,C
1189943064,C
142218422,C
911795467,C
794543130,C
377161734,C
565780947,C
695260559,C
660306874,C
1087212956,C
265658557,C
314113513,C
878303695,C
860901481,C
406101516,C
1180146243,C
1233771029,C
207988913,C
214496849,C
1132585533,C
618578351,C
552964856,C
1215633093,C
165987445,C
831542,C
225655129,C
705523585,C
1134259656,C
349263176,C
1043844531,C
1110671702,C
1024089624,C
69491770,C
117159066,C
828831767,C
11595512,C
322323136,C
747194624,C
296846936,C
60501171,C
1217625539,C
59556051,C
536153085,C
200751039,C
114126067,C
679680967,C
955929116,C
1080671378,C
4731015,C
201054148,C
1152308541,C
783747144,C
901589297,C
867143776,C
657376232,C
538462809,C
322394797,C
477076356,C
970163383,C
500120338,C
126395312,C
1154188320,C
1129160300,C
1115273959,C
846278181,C
828439901,C
669965313,C
782621245,C
726175830,C
353945399,C
786961077,C
395461144,C
999574110,C
966950408,C
799465389,C
208114644,C
627880823,C
989032874,C
613813071,C
20119804,C
591974733,C
191968433,C
212531966,C
1001628836,C
224662236,C
772043264,C
993948671,C
349562477,C
134513294,C
180104841,C
134014987,C
353592717,C
515805204,C
822989068,C
272347642,C
731340295,C
856331759,C
147068138,C
700982378,C
288764483,C
898924800,C
582674865,C
526477932,C
335693175,C
866637224,C
151726554,C
584402496,C
187043215,C
648226901,C
918361308,C
194980333,C
67193838,C
1081055617,C
1087381924,C
888085653,C
900005310,C
771224914,C
39306954,C
181390989,C
940923669,C
775763353,C
1144820702,C
620500307,C
961213869,C
40212297,C
186853378,C
225291331,C
34521917,C
153076721,C
615613250,C
858296240,C
426380994,C
1224174911,C
927152330,C
442246932,C
773620016,C
20822760,C
746849161,C
51981125,C
693719679,C
1037303193,C
547258534,C
989027136,C
492405943,C
1160649661,C
434409374,C
354991442,C
465075555,C
764214585,C
478886296,C
426653927,C
817183311,C
675065234,C
927368862,C
79532710,C
831141326,C
829506502,C
77491511,C
861969081,C
1121741984,C
726133866,C
530796948,C
807448595,C
440892289,C
465287457,C
550611596,C
325060815,C
407907886,C
1215168900,C
321583165,C
810542551,C
40446487,C
1032328768,C
505961044,C
777679828,C
713507630,C
803199349,C
876789488,C
315607928,C
585341041,C
1223639708,C
448809767,C
969196762,C
917505111,C
760281101,C
413501650,C
1121800093,C
1189475449,C
125790555,C
887377568,C
309977928,C
770645510,C
558388192,C
583768839,C
896876904,C
1111263046,C
206555162,C
2556112,C
424537795,C
35778606,C
1157977132,C
580170754,C
634673813,C
100425290,C
388516157,C
1200400610,C
775179675,C
540750602,C
300550274,C
1170654823,C
316088181,C
124313005,C
185443642,C
280814108,C
803399659,C
698946445,C
1141344782,C
578046916,C
570077886,C
741197378,C
672082440,C
733095565,C
944558367,C
885091483,C
438703390,C
288524275,C
676479940,C
1017361081,C
783395514,C
738818162,C
488975702,C
301509588,C
752577853,C
265157141,C
830077550,C
975607122,C
818239866,C
29767348,C
660584882,C
696133386,C
246124439,C
639759280,C
471239918,C
837743488,C
589353712,C
1024794959,C
1189025517,C
264061220,C
948021147,C
695553735,C
993295834,C
491251458,C
376483949,C
850637667,C
816255640,C
876795652,C
781576227,C
702990878,C
535352782,C
784184850,C
119111279,C
1204996213,C
534082754,C
66139401,C
775549241,C
534105828,C
337190674,C
1030698450,C
434535004,C
543890956,C
861640494,C
39447937,C
199732240,C
179112321,C
682537294,C
161207280,C
640450849,C
1059460430,C
120332211,C
333686413,C
982046039,C
1131073307,C
635603736,C
74906695,C
446839231,C
29673727,C
292800787,C
6217287,C
868801760,C
1222880377,C
830536275,C
451175570,C
500016024,C
1017953670,C
479006038,C
530649537,C
118913554,C
482394235,C
572538608,C
1150637501,C
476282460,C
851239668,C
526207281,C
472070237,C
1157160085,C
858118052,C
532398636,C
440133186,C
455084325,C
965774343,C
486412462,C
499232727,C
920272889,C
1173942093,C
588320433,C
297748134,C
60973352,C
1144185194,C
514259305,C
877487169,C
154066294,C
840403226,C
397187208,C
758480735,C
346671211,C
162072306,C
347202775,C
835696872,C
65636925,C
870151652,C
418007401,C
881547330,C
1023191086,C
1220212463,C
589095801,C
421635817,C
17607662,C
683960584,C
774523048,C
661117047,C
235846361,C
312013435,C
314383006,C
448795585,C
1031716664,C
696234642,C
851620553,C
857785290,C
881936138,C
215007081,C
1021790428,C
86791918,C
69008037,C
267312998,C
1074668239,C
150680780,C
95375757,C
132799368,C
1122046060,C
312152062,C
440481144,C
115726514,C
16959685,C
196910950,C
311372702,C
1151354220,C
910718749,C
250442914,C
442290867,C
768650402,C
460104494,C
182347730,C
763577842,C
1021056068,C
389103744,C
349722036,C
773481184,C
1124148664,C
714619319,C
1000685535,C
1082407313,C
207483814,C
302806995,C
516270011,C
1155046364,C
1120218339,C
962203643,C
344662885,C
870389928,C
260906368,C
165643720,C
787246286,C
920321812,C
69059803,C
511889456,C
923333197,C
71633561,C
1225696355,C
253442765,C
863905356,C
545113005,C
588613815,C
793823151,C
310561131,C
21495398,C
449089289,C
209168944,C
984763588,C
268673627,C
613339293,C
702255789,C
654189391,C
757657917,C
498297658,C
642702743,C
502449113,C
1204162873,C
894201174,C
676953669,C
98029885,C
1170430006,C
139799966,C
1084656325,C
1171029049,C
370733758,C
876361112,C
57403793,C
1134988699,C
484518599,C
1113943591,C
674356505,C
999053299,C
223066538,C
602582151,C
354934080,C
1162966975,C
972756526,C
501284869,C
1122732191,C
1194652581,C
389991809,C
1134589556,C
669720279,C
630988110,C
810358507,C
23965087,C
743094233,C
823753595,C
31485576,C
189837841,C
679653679,C
204441508,C
969953269,C
1136409037,C
103873188,C
427194656,C
60583737,C
575759785,C
931854045,C
925128027,C
869052952,C
706992684,C
1231570966,C
985152374,C
541074519,C
243173903,C
623813104,C
864491451,C
365163985,C
980679228,C
201426723,C
108321720,C
373658414,C
969398973,C
1181990449,C
1085632906,C
1078610965,C
981755116,C
401234206,C
176600452,C
301743547,C
18993520,C
1005189649,C
1071445360,C
1196771758,C
847966170,C
272392537,C
1184343220,C
779108758,C
1129291635,C
201934483,C
563620881,C
898832183,C
1044407914,C
159915398,C
976639581,C
228182297,C
1145588094,C
155483666,C
222738122,C
83635094,C
847167121,C
964475282,C
182860089,C
171400255,C
749944233,C
922669892,C
85350451,C
67448426,C
570449426,C
971837647,C
338094005,C
637079923,C
105797169,C
436147605,C
664043828,C
1148827754,C
617917621,C
93483092,C
1157801936,C
747511147,C
1203097851,C
644866360,C
242119654,C
860165968,C
97983732,C
36314847,C
499835405,C
451366452,C
902108488,C
759937211,C
744696426,C
182951228,C
1071396571,C
219561925,C
1174164290,C
91190477,C
876098486,C
615463212,C
1156613538,C
91850727,C
1123383810,C
40304519,C
597303107,C
594044076,C
609918352,C
855315125,C
96684219,C
559056077,C
234672002,C
407780352,C
259184634,C
357082486,C
279413112,C
927146990,C
370409549,C
241254434,C
599939627,C
21013823,C
379104416,C
795933195,C
891132155,C
1160651495,C
194632375,C
613754775,C
1137017099,C
961444944,C
423005894,C
241484762,C
1001486243,C
1195500750,C
723394308,C
487069415,C
257560956,C
218481195,C
737891753,C
26019577,C
593074878,C
382534246,C
983569656,C
266783579,C
363501805,C
1156804547,C
773537902,C
520284012,C
126131663,C
911431212,C
217670802,C
304651929,C
59700358,C
1040633449,C
691933262,C
660529291,C
333831953,C
863065175,C
519478266,C
633789515,C
616014124,C
1151352690,C
687434437,C
980065366,C
945522060,C
1059635469,C
835606294,C
82122707,C
831147391,C
945761891,C
494104735,C
695838888,C
1171150423,C
625761900,C
1147114228,C
640634768,C
125793225,C
417024900,C
896496122,C
585699602,C
901165713,C
1020651292,C
210467886,C
1138059871,C
1095248681,C
901442380,C
1032231861,C
72751747,C
741587520,C
638607427,C
179736494,C
968596017,C
526601849,C
149089962,C
699829806,C
1067569329,C
1084529852,C
1076423594,C
873516810,C
28115559,C
879756096,C
83592198,C
980870345,C
1002383444,C
648328511,C
1083520474,C
967759172,C
1221225611,C
156633095,C
247673982,C
195986951,C
404262350,C
1171981869,C
808770323,C
836459599,C
543705570,C
687324572,C
244689476,C
723931286,C
259531184,C
378084493,C
644809796,C
967178786,C
572206069,C
895803396,C
1234551265,C
63582672,C
544535449,C
12226898,C
1216488647,C
1133928655,C
526297028,C
1107265345,C
1146888201,C
855400778,C
1104165650,C
984569272,C
858841122,C
984900329,C
454598470,C
746663171,C
549474254,C
113629043,C
706533368,C
902529344,C
498948676,C
959356660,C
198997911,C
1027445808,C
545311681,C
147928195,C
980971687,C
481196039,C
336152652,C
281760299,C
1186127012,C
596536539,C
559337070,C
807545963,C
840667182,C
908598168,C
498495445,C
454698758,C
36205817,C
737371003,C
81824781,C
15815442,C
276399223,C
1045993326,C
173254885,C
582002559,C
1171087251,C
999778362,C
967715091,C
1131393327,C
654517147,C
184716972,C
313133445,C
55154477,C
31059501,C
168167271,C
955800839,C
1092634720,C
1039513119,C
681902390,C
979796624,C
1224910526,C
556817970,C
775470364,C
661983109,C
45358815,C
658994725,C
144254505,C
729065770,C
713032745,C
639259734,C
871701350,C
1219036670,C
512431876,C
1210547732,C
978903262,C
1030374833,C
850424865,C
560956242,C
55974146,C
1092710484,C
1150345085,C
385410214,C
808829718,C
755554204,C
280798900,C
453763779,C
86549789,C
840241664,C
931799739,C
433924864,C
743852767,C
1094896678,C
1126050497,C
788253802,C
155108186,C
239317026,C
832723135,C
839138446,C
875001560,C
1007064328,C
1229308413,C
1175476555,C
827697277,C
771597803,C
137420711,C
590380082,C
779171054,C
552782271,C
224800557,C
531740531,C
245749480,C
778618681,C
464496132,C
754729197,C
710214387,C
268812627,C
128586221,C
565431296,C
271766050,C
790459290,C
636371407,C
1154851386,C
266150579,C
317725479,C
1124643599,C
574767005,C
179130087,C
65152371,C
289437084,C
43121584,C
377494505,C
799939865,C
813432062,C
975904588,C
780416659,C
1061335364,C
64302585,C
873440262,C
769985674,C
568611682,C
1088886065,C
790876167,C
269208216,C
732893666,C
655662190,C
523896827,C
1161569194,C
350426564,C
396924982,C
485439409,C
1085928169,C
307776813,C
1073389175,C
1150249253,C
1017495718,C
885747844,C
183068006,C
1177621078,C
940901518,C
1106523479,C
849760078,C
741092229,C
697310538,C
172819580,C
619644733,C
1176374787,C
863720151,C
1096448547,C
188378640,C
207842498,C
1202136378,C
37575303,C
989305623,C
1157141609,C
954111754,C
621376826,C
422834113,C
535903987,C
106159112,C
847757925,C
1152771187,C
999311396,C
38729301,C
345305648,C
1136960370,C
1061433529,C
139635497,C
103568085,C
629283406,C
252194412,C
330427658,C
43660991,C
445153528,C
95541952,C
423047566,C
963973468,C
240477504,C
472194466,C
664739146,C
117440828,C
453058078,C
786225410,C
163710962,C
978177690,C
1095255395,C
487270186,C
1133148535,C
726792281,C
926989116,C
451276289,C
221129618,C
734208554,C
487368452,C
332830883,C
241027080,C
352154686,C
1234080701,C
314423897,C
609705973,C
1042529943,C
840773724,C
1012161991,C
1158231606,C
412269704,C
147712098,C
344816768,C
304006362,C
778337077,C
902490086,C
124290587,C
524732550,C
1059375498,C
1063409252,C
1131513706,C
234912544,C
364402560,C
1189577828,C
103499258,C
119860111,C
583941202,C
36052559,C
11955191,C
1022637407,C
877634853,C
120078378,C
1045219594,C
327606212,C
5975355,C
96704161,C
337007395,C
667618892,C
582994959,C
235091898,C
310601570,C
357346052,C
397916655,C
1043932732,C
1012375118,C
1224096101,C
466879194,C
565888112,C
348589037,C
8569461,C
922234570,SSS
802995358,SSS
50050000,SSS
527542236,SSS
609721245,SSS
208507830,SSS
258536359,SSS
223189592,SSS
53777500,SSS
433073609,SSS
1050687001,SSS
514677781,SSS
294105257,SSS
706716735,SSS
319263897,SSS
161257613,SSS
212403366,SSS
1087196391,SSS
625788457,SSS
443835966,SSS
320079252,SSS
428455790,SSS
469249278,SSS
712438326,SSS
528193422,SSS
442398624,SSS
1080595339,SSS
709565605,SSS
71115142,SSS
738758084,SSS
640967317,SSS
190856946,SSS
647749035,SSS
860825525,SSS
95842808,SSS
671128883,SSS
472649675,SSS
207431290,SSS
979812063,SSS
708943386,SSS
48994655,SSS
694908503,SSS
829050109,SSS
722787125,SSS
545755580,SSS
407670075,SSS
300084291,SSS
1066953874,SSS
223774194,SSS
657374049,SSS
616414138,SSS
239223099,SSS
599744816,SSS
507898543,SSS
693558869,SSS
801579375,SSS
514819994,SSS
1216243561,SSS
1044461579,SSS
475464294,SSS
149342413,SSS
545054487,SSS
1005340122,SSS
1180567864,SSS
401373176,SSS
808312400,SSS
556766179,SSS
600866529,SSS
602830192,SSS
271432377,SSS
383954073,SSS
310750637,SSS
1184047865,SSS
1092261439,SSS
2016472,SSS
1048596086,SSS
438874302,SSS
1007933195,SSS
358828007,SSS
1008522734,SSS
1109856646,SSS
1085210119,SSS
601410907,SSS
1056867212,SSS
1118313173,SSS
975164664,SSS
243020619,SSS
553137259,SSS
1031941181,SSS
1183649589,SSS
4273312,SSS
368305758,SSS
124575170,SSS
615971298,SSS
380978478,SSS
558394451,SSS
461252943,SSS
975888061,SSS
829143078,SSS
856366552,SSS
254014213,SSS
151264987,SSS
570110732,SSS
954546014,SSS
814264937,SSS
860642770,SSS
2051381,SSS
207882668,SSS
797678026,SSS
198892887,SSS
153878729,SSS
993607768,SSS
15552179,SSS
654402520,SSS
1064559629,SSS
1138557947,SSS
464075119,SSS
1090581020,SSS
679129003,SSS
205493943,SSS
326595421,SSS
532117742,SSS
1101944932,SSS
592001734,SSS
653815710,SSS
1009593411,SSS
871452527,SSS
1036174872,SSS
214385717,SSS
1162650521,SSS
63165459,SSS
796982964,SSS
616419363,SSS
104274545,SSS
790389876,SSS
1061922963,SSS
664568605,SSS
301570041,SSS
693178549,SSS
868751396,SSS
600390945,SSS
696459127,SSS
5286196,SSS
722642128,SSS
1101066999,SSS
346566971,SSS
52052477,SSS
742028831,SSS
121962834,SSS
438009282,SSS
844101127,SSS
194335835,SSS
415272120,SSS
1078631143,SSS
380934662,SSS
265081590,SSS
47591849,SSS
535444855,SSS
1092223695,SSS
96457077,SSS
